
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-16 09:06:16 /api/exams/1/analytics/summary ............... ~ 0.36ms
  2026-04-16 09:06:16 /api/exams/1/analytics/item-analysis ......... ~ 0.28ms
  2026-04-16 09:06:16 /api/exams/1/reports/ranking ................. ~ 0.08ms
  2026-04-16 09:06:16 /api/exams/1/analytics/summary ............... ~ 0.11ms
  2026-04-16 09:06:16 /api/exams/1/analytics/item-analysis ......... ~ 0.10ms
  2026-04-16 09:06:16 /api/exams/1/reports/ranking ................. ~ 0.08ms
  2026-04-16 09:06:16 /api/exams/1/analytics/summary ............... ~ 0.11ms
  2026-04-16 09:06:16 /api/exams/1/analytics/item-analysis ......... ~ 0.11ms
  2026-04-16 09:06:16 /api/exams/1/reports/ranking ................. ~ 0.08ms
  2026-04-16 09:06:30 /api/auth/me ................................. ~ 0.18ms
  2026-04-16 09:06:30 /api/auth/me ................................. ~ 0.65ms
  2026-04-16 09:06:30 /api/auth/me ................................. ~ 0.04ms
  2026-04-16 09:06:30 /api/auth/me ................................. ~ 0.04ms
  2026-04-16 09:07:00 /api/exams/1/analytics/summary ............... ~ 0.15ms
  2026-04-16 09:07:00 /api/exams/1/analytics/item-analysis ......... ~ 0.41ms
  2026-04-16 09:07:00 /api/exams/1/reports/ranking ................. ~ 0.57ms
  2026-04-16 09:07:00 /api/exams/1/analytics/summary ............... ~ 0.44ms
  2026-04-16 09:07:00 /api/exams/1/analytics/item-analysis ......... ~ 0.24ms
  2026-04-16 09:07:00 /api/exams/1/reports/ranking ................. ~ 0.19ms
  2026-04-16 09:07:00 /api/exams/1/analytics/summary ............... ~ 0.25ms
  2026-04-16 09:07:00 /api/exams/1/analytics/item-analysis ......... ~ 0.25ms
  2026-04-16 09:07:00 /api/exams/1/reports/ranking ................. ~ 0.19ms
  2026-04-16 09:07:00 /api/exams/1/analytics/summary ............... ~ 0.24ms
  2026-04-16 09:07:01 /api/exams/1/analytics/item-analysis ......... ~ 0.23ms
  2026-04-16 09:07:01 /api/exams/1/reports/ranking ................. ~ 0.17ms
  2026-04-16 09:07:01 /api/exams ................................... ~ 0.22ms
  2026-04-16 09:07:01 /api/exams/1/tokens .......................... ~ 0.82ms
  2026-04-16 09:07:01 /api/exams ................................... ~ 1.25ms
  2026-04-16 09:07:01 /api/exams/1/tokens .......................... ~ 1.77ms
  2026-04-16 09:07:01 /api/exams ................................... ~ 0.04ms
  2026-04-16 09:07:01 /api/exams/1/tokens .......................... ~ 0.46ms
  2026-04-16 09:07:02 /api/exams ................................... ~ 0.03ms
  2026-04-16 09:07:02 /api/exams/1/tokens .......................... ~ 0.03ms
  2026-04-16 09:07:14 /api/exams/1/tokens/2 ........................ ~ 0.13ms
  2026-04-16 09:07:14 /api/exams/1/tokens/2 ...................... ~ 505.66ms
  2026-04-16 09:07:22 /api/exams/1/analytics/summary ............... ~ 0.06ms
  2026-04-16 09:07:22 /api/exams/1/analytics/item-analysis ......... ~ 0.18ms
  2026-04-16 09:07:22 /api/exams/1/reports/ranking ................. ~ 0.25ms
  2026-04-16 09:07:22 /api/exams/1/analytics/summary ............... ~ 0.19ms
  2026-04-16 09:07:22 /api/exams/1/analytics/item-analysis ......... ~ 0.11ms
  2026-04-16 09:07:22 /api/exams/1/reports/ranking ................. ~ 0.08ms
  2026-04-16 09:07:22 /api/exams/1/analytics/summary ............... ~ 0.11ms
  2026-04-16 09:07:22 /api/exams/1/analytics/item-analysis ......... ~ 0.11ms
  2026-04-16 09:07:22 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 09:07:22 /api/exams/1/analytics/summary ............... ~ 0.18ms
  2026-04-16 09:07:22 /api/exams/1/analytics/item-analysis ......... ~ 0.13ms
  2026-04-16 09:07:22 /api/exams/1/reports/ranking ............... ~ 505.77ms
  2026-04-16 09:09:00 /api/auth/me ................................. ~ 0.12ms
  2026-04-16 09:09:00 /api/auth/me ................................. ~ 0.42ms
  2026-04-16 09:09:01 /api/auth/me ................................. ~ 0.02ms
  2026-04-16 09:09:01 /api/auth/me ................................. ~ 0.02ms
  2026-04-16 09:09:47 /api/groups .................................. ~ 0.35ms
  2026-04-16 09:09:47 /api/groups .................................. ~ 1.10ms
  2026-04-16 09:09:47 /api/groups .................................. ~ 0.06ms
  2026-04-16 09:09:47 /api/groups .................................. ~ 0.06ms
  2026-04-16 09:09:50 /api/auth/me ................................. ~ 0.10ms
  2026-04-16 09:09:50 /api/auth/me ................................. ~ 0.37ms
  2026-04-16 09:09:50 /api/auth/me ................................. ~ 0.03ms
  2026-04-16 09:09:50 /api/auth/me ................................. ~ 0.02ms
  2026-04-16 09:09:50 /api/users ................................... ~ 0.10ms
  2026-04-16 09:09:50 /api/users ................................... ~ 0.44ms
  2026-04-16 09:09:50 /api/users ................................... ~ 0.03ms
  2026-04-16 09:09:50 /api/users ................................. ~ 505.31ms
  2026-04-16 09:09:51 /api/question-banks .......................... ~ 0.16ms
  2026-04-16 09:09:51 /api/question-banks .......................... ~ 0.56ms
  2026-04-16 09:09:51 /api/question-banks .......................... ~ 0.04ms
  2026-04-16 09:09:51 /api/question-banks .......................... ~ 0.04ms
  2026-04-16 09:09:52 /api/exams ................................... ~ 0.31ms
  2026-04-16 09:09:52 /api/exams ................................... ~ 0.99ms
  2026-04-16 09:09:52 /api/exams ................................... ~ 0.05ms
  2026-04-16 09:09:52 /api/exams ................................... ~ 0.05ms
  2026-04-16 09:09:53 /api/groups ................................ ~ 500.44ms
  2026-04-16 09:09:53 /api/groups ................................ ~ 500.88ms
  2026-04-16 09:09:53 /api/groups .................................. ~ 0.37ms
  2026-04-16 09:09:53 /api/groups .................................. ~ 0.02ms
  2026-04-16 09:09:54 /api/grading/pending-essays .................. ~ 0.07ms
  2026-04-16 09:09:54 /api/grading/pending-essays .................. ~ 0.22ms
  2026-04-16 09:09:54 /api/grading/pending-essays .................. ~ 0.02ms
  2026-04-16 09:09:54 /api/grading/pending-essays .................. ~ 0.02ms
  2026-04-16 09:09:55 /api/exams ................................... ~ 0.33ms
  2026-04-16 09:09:55 /api/exams/1/tokens .......................... ~ 1.25ms
  2026-04-16 09:09:55 /api/exams ................................... ~ 1.62ms
  2026-04-16 09:09:55 /api/exams/1/tokens .......................... ~ 2.68ms
  2026-04-16 09:09:55 /api/exams ................................... ~ 0.07ms
  2026-04-16 09:09:55 /api/exams/1/tokens .......................... ~ 0.55ms
  2026-04-16 09:09:55 /api/exams ................................... ~ 0.05ms
  2026-04-16 09:09:55 /api/exams/1/tokens .......................... ~ 0.05ms
  2026-04-16 09:09:55 /api/exams/1/analytics/summary ............... ~ 0.08ms
  2026-04-16 09:09:55 /api/exams/1/analytics/item-analysis ......... ~ 0.21ms
  2026-04-16 09:09:55 /api/exams/1/reports/ranking ................. ~ 0.29ms
  2026-04-16 09:09:55 /api/exams/1/analytics/summary ............... ~ 0.40ms
  2026-04-16 09:09:55 /api/exams/1/analytics/item-analysis ......... ~ 0.32ms
  2026-04-16 09:09:55 /api/exams/1/reports/ranking ................. ~ 0.10ms
  2026-04-16 09:09:55 /api/exams/1/analytics/summary ............... ~ 0.13ms
  2026-04-16 09:09:55 /api/exams/1/analytics/item-analysis ....... ~ 506.02ms
  2026-04-16 09:09:56 /api/exams/1/reports/ranking ............... ~ 506.54ms
  2026-04-16 09:09:56 /api/exams/1/analytics/summary ............... ~ 0.82ms
  2026-04-16 09:09:56 /api/exams/1/analytics/item-analysis ......... ~ 0.74ms
  2026-04-16 09:09:56 /api/exams/1/reports/ranking ................. ~ 0.55ms
  2026-04-16 09:10:09 /api/auth/me ................................. ~ 0.44ms
  2026-04-16 09:10:09 /api/auth/me ................................. ~ 1.56ms
  2026-04-16 09:10:09 /api/auth/me ................................. ~ 0.11ms
  2026-04-16 09:10:09 /api/auth/me ................................. ~ 0.10ms
  2026-04-16 09:10:11 /api/auth/me ................................. ~ 0.23ms
  2026-04-16 09:10:11 /api/auth/me ................................. ~ 0.85ms
  2026-04-16 09:10:11 /api/auth/me ................................. ~ 0.06ms
