
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-15 11:32:57 /api/question-banks .......................... ~ 0.04ms
  2026-04-15 11:32:58 /api/question-banks/1/questions .............. ~ 0.41ms
  2026-04-15 11:32:58 /api/question-banks/1/questions .............. ~ 0.11ms
  2026-04-15 11:32:58 /api/question-banks .......................... ~ 0.40ms
  2026-04-15 11:32:58 /api/question-banks .......................... ~ 0.10ms
  2026-04-15 11:33:26 /api/exams/1/questions ....................... ~ 0.47ms
  2026-04-15 11:33:26 /api/exams/1/questions ....................... ~ 0.10ms
  2026-04-15 11:33:26 /api/exams/1/questions ....................... ~ 0.10ms
  2026-04-15 11:33:27 /api/exams/1/questions ....................... ~ 0.07ms
  2026-04-15 11:33:39 /api/question-banks .......................... ~ 0.35ms
  2026-04-15 11:33:39 /api/question-banks .......................... ~ 0.08ms
  2026-04-15 11:33:41 /api/question-banks/1/questions .............. ~ 0.12ms
  2026-04-15 11:33:41 /api/question-banks/1/questions .............. ~ 0.04ms
  2026-04-15 11:33:41 /api/question-banks .......................... ~ 0.18ms
  2026-04-15 11:33:41 /api/question-banks .......................... ~ 0.05ms
  2026-04-15 11:33:59 /api/exams ................................... ~ 0.13ms
  2026-04-15 11:33:59 /api/exams ................................... ~ 0.47ms
  2026-04-15 11:33:59 /api/exams ................................... ~ 0.03ms
  2026-04-15 11:33:59 /api/exams ................................... ~ 0.02ms
  2026-04-15 11:34:30 /api/exams/1/participants .................... ~ 5.12ms
  2026-04-15 11:34:30 /api/exams/1/participants .................... ~ 5.65ms
  2026-04-15 11:34:30 /api/exams/1/participants .................... ~ 0.05ms
  2026-04-15 11:34:30 /api/exams/1/participants .................... ~ 0.05ms
  2026-04-15 11:35:37 /api/auth/me ................................. ~ 2.00ms
  2026-04-15 11:35:37 /api/auth/me ................................. ~ 2.22ms
  2026-04-15 11:35:37 /api/auth/me ................................. ~ 0.02ms
  2026-04-15 11:35:37 /api/auth/me ................................. ~ 0.01ms
  2026-04-15 11:35:38 /api/users ................................... ~ 0.16ms
  2026-04-15 11:35:38 /api/users ................................... ~ 0.52ms
  2026-04-15 11:35:38 /api/users ................................... ~ 0.03ms
  2026-04-15 11:35:38 /api/users ................................... ~ 0.03ms
  2026-04-15 11:35:39 /api/auth/me ................................. ~ 0.10ms
  2026-04-15 11:35:39 /api/auth/me ................................. ~ 0.39ms
  2026-04-15 11:35:39 /api/auth/me ................................. ~ 0.02ms
  2026-04-15 11:35:39 /api/auth/me ................................. ~ 0.02ms
  2026-04-15 11:35:40 /api/users ................................... ~ 0.42ms
  2026-04-15 11:35:40 /api/users ................................... ~ 1.61ms
  2026-04-15 11:35:40 /api/users ................................... ~ 0.07ms
  2026-04-15 11:35:40 /api/users ................................... ~ 0.07ms
  2026-04-15 11:35:41 /api/question-banks .......................... ~ 0.10ms
  2026-04-15 11:35:41 /api/question-banks .......................... ~ 0.32ms
  2026-04-15 11:35:41 /api/question-banks .......................... ~ 0.02ms
  2026-04-15 11:35:41 /api/question-banks .......................... ~ 0.02ms
  2026-04-15 11:35:42 /api/users ................................... ~ 0.12ms
  2026-04-15 11:35:42 /api/users ................................... ~ 0.46ms
  2026-04-15 11:35:42 /api/users ................................... ~ 0.03ms
  2026-04-15 11:35:42 /api/users ................................... ~ 0.02ms
  2026-04-15 11:35:42 /api/question-banks .......................... ~ 0.15ms
  2026-04-15 11:35:42 /api/question-banks .......................... ~ 0.04ms
