
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-16 08:48:40 /api/exams/1/analytics/item-analysis ......... ~ 0.23ms
  2026-04-16 08:48:40 /api/exams/1/reports/ranking ................. ~ 0.14ms
  2026-04-16 08:48:40 /api/exams/1/analytics/summary ............... ~ 0.15ms
  2026-04-16 08:48:41 /api/exams/1/analytics/item-analysis ......... ~ 0.13ms
  2026-04-16 08:48:41 /api/exams/1/reports/ranking ................. ~ 0.11ms
  2026-04-16 08:48:41 /api/exams/1/analytics/summary ............... ~ 0.14ms
  2026-04-16 08:48:41 /api/exams/1/analytics/item-analysis ......... ~ 0.13ms
  2026-04-16 08:48:41 /api/exams/1/reports/ranking ................. ~ 0.10ms
  2026-04-16 08:48:41 /api/exams/1/analytics/summary ............... ~ 0.12ms
  2026-04-16 08:48:41 /api/exams/1/analytics/item-analysis ......... ~ 0.32ms
  2026-04-16 08:48:41 /api/exams/1/reports/ranking ................. ~ 0.45ms
  2026-04-16 08:48:41 /api/exams/1/analytics/summary ............... ~ 0.62ms
  2026-04-16 08:48:41 /api/exams/1/analytics/item-analysis ......... ~ 0.52ms
  2026-04-16 08:48:41 /api/exams/1/reports/ranking ................. ~ 0.16ms
  2026-04-16 08:48:41 /api/exams/1/analytics/summary ............... ~ 0.23ms
  2026-04-16 08:48:41 /api/exams/1/analytics/item-analysis ......... ~ 0.23ms
  2026-04-16 08:48:41 /api/exams/1/reports/ranking ................. ~ 0.17ms
  2026-04-16 08:48:41 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 08:48:41 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 08:48:41 /api/exams/1/reports/ranking ................. ~ 0.14ms
  2026-04-16 08:48:42 /api/exams/1/reports/export.pdf .............. ~ 0.25ms
  2026-04-16 08:49:01 /api/exams/1/reports/export.xlsx ............. ~ 0.16ms
  2026-04-16 08:52:00 /api/exams/1/analytics/summary ............... ~ 0.70ms
